축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관명,주최기관명,후원기관명,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
2024 안양춤축제 ANYANG DANCE FESTIVAL,평촌중앙공원+삼덕공원,2024-09-27,2024-09-29,시민공연마당 + 전시체험부스 + 개폐막 작품 + 가수 축하공연 + 댄스대회 + 안양시민의날 기념식 + 시민커뮤니티댄스 등,(재)안양문화예술재단,경기도 안양시+안양축제추진위원회,,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.961329,2025-02-11,3830000,경기도 안양시
2024 제2회 안양일번가 넘버원 페스티벌,안양일번가 일대,2024-11-15,2024-11-17,패션 버스킹+쓰면『이루어진달」+패션&뷰티 체험부스+가수 및 동아리공연+스탬프 투어 등,경기도 안양시,경기도 안양시,,031-8045-5122,https://www.anyang.go.kr/main/index.do,,경기도 안양시 만안구 만안로223번길 7 (안양동),경기도 안양시 만안구 안양동 674-10,37.400401,126.922389,2025-02-11,3830000,경기도 안양시
중랑 서울장미축제,중랑장미공원(묵동교~겸재교 중랑천 일원),2025-05-16,2025-05-24,"장미 개화시기에 맞춰 중랑천 둔치와 수림대 공원 등에서의 문화공연과 먹거리 부스, 포토존 및 전시 등 5.45km 장미터널을 활용한 서울시 브랜드 축제",중랑문화재단,중랑문화재단,서울특별시 중랑구청+서울특별시청,02-3407-6531,https://www.jnfac.or.kr/rose/index,,서울특별시 중랑구 중랑천로 332,서울특별시 중랑구 묵동 378,37.6148099,127.073526,2025-02-05,3060000,서울특별시 중랑구
제4회 홍제1동 장미거리축제,홍제내길,2023-06-10,2023-06-10,개막공연+개막식+초청가수공연+자치회관프로그램발표회+가요콘서트＆패션쇼+장미가요제+마을장터+체험부스,서울특별시 서대문독립페스타추진위원회,서울특별시 서대문구,서울특별시 서대문구+ 홍제1동 직능단체+ 디지털서울문화예술대학교 교육혁신지원사업단,02-330-1410,,,서울특별시 서대문구 홍제내길 227,서울특별시 서대문구 홍제동 294-84,37.5908318933,126.9410091182,2023-08-18,3120000,서울특별시 서대문구
여르미오페스티벌,안산시 문화광장,2015-08-08,2015-08-08,대중예술축제,안산문화재단,안산문화재단,,031-481-4030,https://www.ansanart.com//lay2/S1T54C56/contents.do,대부도,경기도 안산시 단원구 광덕대로 157,경기도 안산시 단원구 고잔동 800,37.310742,126.829822,2024-07-22,3930000,경기도 안산시
여르미오페스티벌,안산시 문화광장,2016-08-13,2016-08-13,대중예술축제,안산문화재단,안산문화재단,,031-481-4030,https://www.ansanart.com//lay2/S1T54C56/contents.do,,경기도 안산시 단원구 화랑로 312,경기도 안산시 단원구 고잔동 817,37.318426,126.823108,2024-07-22,3930000,경기도 안산시
여르미오페스티벌,안산시 문화광장,2018-08-04,2018-08-04,대중예술축제,안산문화재단,안산문화재단,,031-481-4030,https://www.ansanart.com//lay2/S1T54C56/contents.do,,경기도 안산시 단원구 화랑로 312,경기도 안산시 단원구 고잔동 817,37.318426,126.823108,2024-07-22,3930000,경기도 안산시
여르미오페스티벌,안산문화예술의전당 야외 광장 일대,2019-08-10,2019-08-10,대중예술축제,안산문화재단,안산문화재단,,031-481-4030,https://www.ansanart.com/index.do,,경기도 안산시 단원구 화랑로 312,경기도 안산시 단원구 고잔동 817,37.318426,126.823108,2024-07-22,3930000,경기도 안산시
여르미오페스티벌,안산문화예술의전당 야외 광장 일대,2021-07-31,2021-08-14,대중예술축제,안산문화재단,안산문화재단,,031-481-4030,https://www.ansanart.com/index.do,,경기도 안산시 단원구 화랑로 312,경기도 안산시 단원구 고잔동 817,37.318426,126.823108,2024-07-22,3930000,경기도 안산시
여르미오페스티벌,안산문화예술의전당 야외 광장 일대,2022-09-03,2022-09-03,대중예술축제,안산문화재단,안산문화재단,,031-481-4030,https://www.ansanart.com/index.do,,경기도 안산시 단원구 화랑로 312,경기도 안산시 단원구 고잔동 817,37.318426,126.823108,2024-07-22,3930000,경기도 안산시
여르미오페스티벌,화랑유원지 대공연장,2023-09-02,2023-09-02,대중예술축제,안산문화재단,안산문화재단,,031-481-0535,https://www.ansanart.com/index.do,,경기도 안산시 단원구 동산로 268,경기도 안산시 단원구 초지동 667,37.32507855,126.8099898,2024-07-22,3930000,경기도 안산시
여르미오페스티벌,안산문화예술의전당 야외 광장 일대,2024-08-10,2024-08-10,대중예술축제,안산문화재단,안산문화재단,,031-481-0536,https://www.ansanart.com/index.do,,경기도 안산시 단원구 동산로 268,경기도 안산시 단원구 초지동 667,37.32507855,126.8099898,2024-07-22,3930000,경기도 안산시
제1회 상록수문화제,상록수공원 및 샘골로 일대,2013-08-31,2013-08-31,기념음악회+체험박람회+작품발표회+사생대회 등,경기도 안산시청,경기도 안산시청,국가보훈처,031-481-3040,https://www.ansan.go.kr/choiyongshin,,경기도 안산시 상록구 샘골서길 64,경기도 안산시 상록구 본오동 879-4,37.299644,126.8627402,2024-07-22,3930000,경기도 안산시
제2회 상록수문화제,상록수공원 및 샘골로 일대,2014-09-27,2014-09-27,기념음악회+체험박람회+작품발표회+사생대회 등,경기도 안산시청,경기도 안산시청,경기도청+국가보훈처,031-481-3040,https://www.ansan.go.kr/choiyongshin,,경기도 안산시 상록구 샘골서길 64,경기도 안산시 상록구 본오동 879-4,37.299644,126.8627402,2024-07-22,3930000,경기도 안산시
제3회 상록수문화제,본오3동공영주차장+상록수공원 및 샘골로 일대,2015-09-19,2015-09-19,기념음악회+체험박람회+작품발표회+사생대회 등,경기도 안산시청,경기도 안산시청,경기도청+국가보훈처,031-481-3040,https://www.ansan.go.kr/choiyongshin,,경기도 안산시 상록구 샘골서길 64,경기도 안산시 상록구 본오동 879-4,37.299644,126.8627402,2024-07-22,3930000,경기도 안산시
제4회 상록수문화제,본오3동공영주차장+상록수공원 및 샘골로 일대,2016-09-10,2016-09-10,기념음악회+체험박람회+작품발표회+거리퍼레이드 등,경기도 안산시청,경기도 안산시청,국가보훈처,031-481-3040,https://www.ansan.go.kr/choiyongshin,,경기도 안산시 상록구 샘골서길 64,경기도 안산시 상록구 본오동 879-4,37.299644,126.8627402,2024-07-22,3930000,경기도 안산시
제5회 상록수문화제,본오3동공영주차장+상록수공원 및 샘골로 일대,2017-09-16,2017-09-16,기념음악회+체험박람회+작품발표회+거리퍼레이드 등,경기도 안산시청,경기도 안산시청,국가보훈처,031-481-3040,https://www.ansan.go.kr/choiyongshin,,경기도 안산시 상록구 샘골서길 64,경기도 안산시 상록구 본오동 879-4,37.299644,126.8627402,2024-07-22,3930000,경기도 안산시
제6회 상록수문화제,본오3동공영주차장+매화길+상록수역 앞 광장,2018-09-15,2018-09-15,기념음악회+체험박람회+작품발표회+거리퍼레이드 등,경기도 안산시청,경기도 안산시청,국가보훈처,031-481-3040,https://www.ansan.go.kr/choiyongshin,,경기도 안산시 상록구 샘골서길 64,경기도 안산시 상록구 본오동 879-4,37.299644,126.8627402,2024-07-22,3930000,경기도 안산시
제7회 상록수문화제,최용신기념관+상록수공원,2019-10-26,2019-10-26,공연+전시+체험 등,경기도 안산시청,경기도 안산시청,국가보훈처,031-481-3040,https://www.ansan.go.kr/choiyongshin,,경기도 안산시 상록구 샘골서길 64,경기도 안산시 상록구 본오동 879-4,37.299644,126.8627402,2024-07-22,3930000,경기도 안산시
제8회 상록수문화제,최용신기념관+상록수공원,2021-10-26,2021-10-26,공연+체험 등,경기도 안산시청,경기도 안산시청,,031-481-3040,https://www.ansan.go.kr/choiyongshin,,경기도 안산시 상록구 샘골서길 64,경기도 안산시 상록구 본오동 879-4,37.299644,126.8627402,2024-07-22,3930000,경기도 안산시
제9회 상록수문화제,최용신기념관+상록수공원,2022-10-01,2022-10-01,기념음악회+전시+체험 등,경기도 안산시청,경기도 안산시청,,031-481-3040,https://www.ansan.go.kr/choiyongshin,,경기도 안산시 상록구 샘골서길 64,경기도 안산시 상록구 본오동 879-4,37.299644,126.8627402,2024-07-22,3930000,경기도 안산시
제10회 상록수문화제,최용신기념관+상록수공원,2023-10-07,2023-10-07,공연+전시+체험 등,경기도 안산시청,경기도 안산시청,,031-481-3040,https://www.ansan.go.kr/choiyongshin,,경기도 안산시 상록구 샘골서길 64,경기도 안산시 상록구 본오동 879-4,37.299644,126.8627402,2024-07-22,3930000,경기도 안산시
성주참외&생명문화축제,성주군 일원,2024-05-16,2024-05-19,"개막식, 공연 체험 전시 먹거리존 운영, 불꽃쇼",경상북도 성주군축제추진위원회,경상북도 성주군축제추진위원회,,054-930-6982,https://sj.go.kr/sjlife,,경상북도 성주군 성주읍 성주로 3204,경상북도 성주군 성주읍 경산리 660-4,35.91846997,128.2840727,2024-08-05,5210000,경상북도 성주군
도봉구 등축제,우이천,2015-09-11,2015-09-30,"둘리와 친구들과 어우러지는 범선, 동물친구들 등과 추석을 앞두고 있어 전통춤 시리즈로 구성하여 등 전시",서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2254,,,서울특별시 도봉구,,37.6617028,127.0382005,2018-05-01,3090000,서울특별시 도봉구
정의공주와 함께 하는 도봉 한글잔치,방학동 원당샘공원,2015-10-09,2015-10-09,"문화예술공연, 백일장 및 사생대회, 전통놀이체험 등",서울특별시 도봉구청,"서울특별시 도봉구청, 도봉문화원",,02-905-4026,,,서울특별시 도봉구 원당샘공원,,37.666670,127.033750,2018-05-01,3090000,서울특별시 도봉구
정월대보름 큰잔치,"도봉구청 광장, 중랑천변",2015-03-05,2015-03-05,"길놀이, 풍물놀이, 소원지 붙이기, 달집태우기, 민속놀이 체험마당,청소년 동아리 프로그램 공연 및 솟대외줄타기 공연",서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2254,,,서울특별시 도봉구 마들로 656,,37.6707774,127.0483768,2018-05-01,3090000,서울특별시 도봉구
천안흥타령춤축제,천안종합운동장+천안시 일원,2025-09-24,2025-09-28,전국춤경연대회+거리댄스퍼레이드+국제춤대회+스트릿댄스 페스티벌+부대경연+체험 및 부대행사 등,(재)천안문화재단,(재)천안문화재단,,041-900-7020,https://cheonanfestival.com/ko/,,충청남도 천안시 서북구 번영로 208,,36.81910075,127.1133052,2025-02-25,B551011,한국관광공사
청송사과축제,청송읍 용전천 변(현비암 일원),2024-10-30,2024-11-03,공연+청송사과 퍼레이드+청송꽃줄엮기 전국대회+황금사과를 찾아라+사과난타 등,청송군축제추진위원회,경상북도 청송군청,문화체육관광부+경상북도청+청송군의회+청송경찰서+청송교육지원청+청송군관내농협+(사)청송사과협회+청송사과유통센터+(재)청송문화관광재단,054-873-3686,https://www.cs.go.kr/tour/00004559/00004588.web?amode=view&idx=111&,,경상북도 청송군 청송읍 금월로 269,경상북도 청송군 청송읍 월막리 368-2,36.43304251,129.0559778,2025-02-25,B551011,한국관광공사
광주 추억의 충장축제,광주광역시 동구 충장로+금남로+518 민주광장 일원,2025-10-15,2025-10-19,충장 파이어아트 퍼레이드+추억의 밀가루 놀이+열정의 충장 댄스나이트+금남로의 만찬 등,광주광역시 동구청+동구문화관광재단+충장축제위원회,광주광역시 동구청,문화체육관광부,062-608-4675,,,광주광역시 동구 금남로 220,,35.14935078,126.9161135,2025-02-25,B551011,한국관광공사
춘천마임축제,춘청 중앙로+커먼즈필드 춘천+함악산 호수 케이블카 공영주차장 일원+축제극장 몸짓+춘천문화예술회관 등,2025-05-25,2025-06-01,극장공연+거리마임공연+봄의도시/물의도시/불의도시 공연,(사) 춘천마임축제,(사)춘천마임축제+KBS춘천방송총국+G1방송,문화체육관광부+강원특별자치도청+강원특별자치도 춘천시청+한국관광공사+한국문화예술위원회+한국메세나협회,033-242-0585,mimefestival.com,,강원특별자치도 춘천시 춘천로 112,강원특별자치도 춘천시 효자동 531,37.87309537,127.7278102,2025-02-25,B551011,한국관광공사
탐라문화제,탐라문화광장 등 제주도 일원,2024-10-05,2024-10-09,탐라개벽신위제+탐라퍼레이드+민속체험+탐라예술무대+참여행사 등,한국예총제주특별자치도연합회,제주특별자치도청,문화체육관광부+제주특별자치도의회+제주특별자치도교육청+제주특별자치도관광공사+제주특별자치도관광협회+제주농협,064-753-3287,http://www.tamnafestival.kr/,,제주특별자치도 제주시 중앙로 2,제주특별자치도 제주시 삼도이동 1262,33.51814757,126.5239547,2025-02-25,B551011,한국관광공사
태화강 마두희 축제,중구 태화강+성남동 일대,2025-05-30,2025-06-01,"울산 큰줄당기기 마두희+태화강 태화나루 치맥페스티벌+수상줄당기기+골목줄당기기(동대항, 유치부, 초등부)+태화강 마두희 장터+별별마당 체험+마두희랑 차(茶) 마시기 등",태화강마두희축제추진위원회,울산광역시 중구청,,052-244-2008,http://ulsanmaduhee.co.kr/pages/index.html,,울산광역시 중구 문화의거리 38,울산광역시 중구 옥교동 239-1,35.55697353,129.3219651,2025-02-25,B551011,한국관광공사
통영한산대첩축제,세병관+통영시일대,2025-08-09,2025-08-14,전국 거북선 노젓기 대회+고유제 봉행+삼도수군통제사 행차 및 군점 재현+플라이보드 워터 미디어쇼+오늘밤 통한밤 EDM파티+소비자 참여 프로그램 등,(재)통영한산대첩문화재단,경상남도 통영시청,,055-646-1592,https://tyhansancf.or.kr/,,경상남도 통영시 세병로 27,,34.84715495,128.423489,2025-02-25,B551011,한국관광공사
평창송어축제,평창송어축제장,2025-01-03,2025-02-02,얼음낚시+텐트낚시+어린이낚시터+황금송어맨손잡기+얼음광장체험놀이 등,평창송어축제위원회,강원특별자치도 평창군청,문화체육관광부+강원특별자치도청+한국관광공사,033-336-4000,https://www.festival700.or.kr/,,강원특별자치도 평창군 진부면 경강로 3562,강원특별자치도 평창군 진부면 하진부리 325,37.63321778,128.5570396,2025-02-25,B551011,한국관광공사
평창효석문화제,효석문화마을 일원,2024-09-06,2024-09-15,메밀꽃밭 산책로 탐방+당나귀 승마체험+메밀꽃깡통열차+흥정천갯가책방+로컬마켓 운영+메밀꽃 버스킹+문화공연 등,사)이효석문학선양회,사)이효석문학선양회,강원특별자치도청+강원특별자치도 평창군청+문화체육관광부+한국관광공사,033-335-2323,http://www.hyoseok.com,,강원특별자치도 평창군 봉평면 이효석길 157 (봉평면),강원특별자치도 평창군 봉평면 원길리 765-5,37.61410983,128.371598,2025-02-25,B551011,한국관광공사
포항국제불빛축제,영일대 해수욕장,2024-05-31,2024-06-02,국제 불꽃쇼+불빛 드론쇼+국제 불꽃 경연대회+거리 퍼레이드+불빛 체험존+퐝스토랑+불빛 테마존+농특산물 장터 등,(재)포항문화재단,경상북도 포항시청,에코프로+대구은행+농협+세아제강+금복주,054-289-7852,http://festival.phcf.or.kr/fireWorks/intro.do,,,경상북도 포항시 북구 두호동 685-1,36.05728875,129.3780689,2025-02-25,B551011,한국관광공사
하동 야생차문화축제,하동야생차치유관+박물관 일원,2024-05-11,2024-05-14,시배지 헌다례+찻잔속 버스킹+움직이는 미술관+경연행사+체험행사 등,(사)하동야생차문화축제조직위원회,(사)하동야생차문화축제조직위원회,,055-880-6583,,,경상남도 하동군 화개면 쌍계로 571-25,경상남도 하동군 화개면 운수리 664,35.22773215,127.6426921,2025-02-25,B551011,한국관광공사
한산모시문화제,한산모시관 일원,2024-06-07,2024-06-09,저산팔읍길쌈놀이+모시옷패션쇼+모시학교+미니베틀짜기체험+모시옷 입기 체험+한산주막 체험+모시잎차 다례체험+모시천연염색 등,한산모시문화제추진위원회,충청남도 서천군청,문화체육관광부+ 충청남도청+ NH농협은행 서천군지부+신협중앙회,041-950-4016,www.hansanmosi.kr/,,충청남도 서천군 한산면 충절로 1089,충청남도 서천군 한산면 지현리 60-1,36.0799446,126.7987038,2025-02-25,B551011,한국관광공사
철원 한탄강 얼음트레킹 축제,철원 한탄강 물윗길 트레킹 코스 일원,2025-01-11,2025-01-19,공연+행사+포토존+윈터랜드 눈썰매장+아이스랜드 얼음놀이터+얼음트레킹코스+한탄강 짚라인 등,강원특별자치도 철원군청+철원군의회,(재)철원문화재단,,033-455-7072,https://gcwcf.or.kr/,,,강원특별자치도 철원군 동송읍 장흥리 25-203,38.18909327,127.2949418,2025-02-25,B551011,한국관광공사
함평나비대축제,함평엑스포공원,2025-04-25,2025-05-06,나비날리기 체험+문화예술공연+전시행사 등,(재)함평축제관광재단,전라남도 함평군청,,061-320-2238,https://www.hpftf.or.kr/,,전라남도 함평군 함평읍 곤재로 27,전라남도 함평군 함평읍 수호리 1153-1,35.05813923,126.5226056,2025-02-25,B551011,한국관광공사
화성 뱃놀이 축제,화성시 전곡항+제부도 일원,2025-05-30,2025-06-01,승선체험 프로그램+바람의 사신단 댄스 퍼포먼스+마린 플로깅+화성어촌체험마을+독살체험+공연 프로그램 등,화성시문화재단,경기도 화성시청,,031-290-4689,https://hs-boatingfestival.com/,,경기도 화성시 서신면 전곡항로 5,,37.18560049,126.6510546,2025-02-25,B551011,한국관광공사
얼음나라화천 산천어축제,메인 축제장 - 화천천,2025-01-11,2025-02-02,얼음낚시+맨손잡기+눈얼음체험+얼음조각광장 등,강원특별자치도 화천군청+재단법인나라,강원특별자치도 화천군청+재단법인나라,,1688-3005,https://www.narafestival.com/01_icenara/,,강원특별자치도 화천군 화천읍 산천어길 137,강원특별자치도 화천군 화천읍 중리 186-5,38.11250161,127.7098812,2025-02-25,B551011,한국관광공사
2025 통영한산대첩축제,통영한산대첩광장 및 통영시 일원,2025-08-08,2025-08-14,고유제+군점+이순신장군 행렬+한산대첩 재현+학술발표회+통제영무과 체험마당,(재)통영한산대첩문화재단,(재)통영한산대첩문화재단,문화체육관광부+경상남도+경상남도 통영시,055-650-0522,https://tyhansancf.or.kr/,,경상남도 통영시 세병로 27(문화동),경상남도 통영시 문화동 62,34.84715495,128.423489,2025-02-26,5330000,경상남도 통영시
제10회 사천비토섬별주부전축제,비토해양낚시공원 앞 주차장,2025-04-04,2025-04-05,용왕제+공연행사+ 체험행사+ 사생대회+ 먹거리 장터 등,별주부전축제추진위원회,별주부전축제추진위원회,,,,,경상남도 사천시 서포면 거북길 447,경상남도 사천시 서포면 비토리 14-13,,,2025-02-12,5340000,경상남도 사천시
정의공주와 함께 하는 도봉 한글잔치,방학동 원당샘공원,2015-10-09,2015-10-09,"문화예술공연, 백일장 및 사생대회, 전통놀이체험 등",서울특별시 도봉구청,"서울특별시 도봉구청, 도봉문화원",,02-905-4026,,,서울특별시 도봉구 원당샘공원,,37.666670,127.033750,2018-05-01,3090000,서울특별시 도봉구
정월대보름 큰잔치,"도봉구청 광장, 중랑천변",2015-03-05,2015-03-05,"길놀이, 풍물놀이, 소원지 붙이기, 달집태우기, 민속놀이 체험마당,청소년 동아리 프로그램 공연 및 솟대외줄타기 공연",서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2254,,,서울특별시 도봉구 마들로 656,,37.6707774,127.0483768,2018-05-01,3090000,서울특별시 도봉구
도봉서원 춘·추향제,도봉서원,2015-04-28,2015-10-22,"분향례, 전폐례, 초헌례, 아헌례, 종헌례, 음복례 등 제례, 추모음악회",서울특별시 도봉구청,"서울특별시 도봉구청,(사)도봉서원",,02-905-4026,,,서울특별시 도봉구 도봉산길 90,,37.6853826,127.0325089,2018-05-01,3090000,서울특별시 도봉구
꽁꽁축제,홍천강변 일원,2025-01-18,2025-02-01,축제,(재)홍천문화재단,(재)홍천문화재단,강원특별자치도 홍천군,,,,강원특별자치도 홍천군 홍천읍 산림공원1길 29,,,,2024-12-16,4251000,강원특별자치도 홍천군
2024 나주 영산강 축제,영산강 정원(강변 저류지 일원),2024-10-09,2024-10-13,영산강을 주제로 한 대표축제,나주시축제추진위원회,전라남도 나주시청,전라남도 나주시청,061-339-8594,http://www.naju.go.kr/tour/,영산강정원+영산포 홍어거리+영산강 황포돛배,,전라남도 나주시 영산동 756-1,35.00082866,126.7234742,2024-12-03,4830000,전라남도 나주시
천년나주목읍성문화축제,금성관 + 나주향교 + 서성문,2024-09-27,2024-09-29,나주의 읍성문화를 이용한 역사 문화 축제,천년나주목읍성문화축제추진위원회,천년나주목읍성문화축제추진위원회,전라남도 나주시청,061-339-8722,http://www.naju.go.kr/tour/,나주 읍성+향교+금성관,전라남도 나주시 금성관길 8,전라남도 나주시 과원동 109-5,35.03335643,126.7165553,2024-12-03,4830000,전라남도 나주시
영산포 홍어축제,영산강둔치체육공원,2024-05-24,2024-05-26,나주 특산품인 홍어를 활용한 지역경제 축제,영산포홍어축제추진위원회,영산포홍어축제추진위원회,전라남도 나주시청,061-339-8722,http://www.naju.go.kr/tour/,영산포 홍어거리+영산강 황포돛배,,전라남도 나주시 삼영동 117-6,35.00158881,126.7040551,2024-12-03,4830000,전라남도 나주시
고성군민의 날 및 수성문화제,고성종합운동장,2024-09-21,2024-09-24,수성제례+가장행렬 및 시가행진+수성축하공연,고성문화원,고성군수성문화재위원회,강원특별자치도 고성군+고성군의회,033-681-2922,,,강원특별자치도 고성군 간성읍 수성로 87,강원특별자치도 고성군 간성읍 상리 500,,,2025-03-05,4341000,강원특별자치도 고성군
오호항 도루묵 축제,죽왕면 오호항 일원,2024-11-09,2024-12-01,도루묵체험+도루묵시식,오호어촌체험마을축제위원회,오호어촌체험마을축제위원회,강원특별자치도 고성군+고성군의회+죽왕수협,033-680-3411,,,강원특별자치도 고성군 죽왕면 심층수길 22-1,강원특별자치도 고성군 죽왕면 오호리 68-17,,,2025-03-05,4341000,강원특별자치도 고성군
초도성게축제,현내면 초도항 일원,2024-07-19,2024-07-21,공연행사+경연행사+체험행사+전시행사+항구장터,초도성게축제운영위원회,초도성게축제운영위원회,강원특별자치도 고성군,033-680-3411,,,강원특별자치도 고성군 현내면 초도항길 92-1,강원특별자치도 고성군 현내면 초도리 1-2,,,2025-03-05,4341000,강원특별자치도 고성군
정서진 해넘이 행사,인천광역시 서구 정서진,2025-12-31,2025-12-31,경관조명행사 + 체험프로그램,인천광역시 서구문화원,인천광역시 서구문화원,인천광역시 서구,032-560-5933,http://www.seo.incheon.kr/,,인천광역시 서구 정서진1로 41,인천광역시 서구 오류동 1563,37.55843603,126.6074644,2025-02-26,3560000,인천광역시 서구
아라뱃길 카약축제,인천광역시 서구 정서진,2025-09-01,2025-09-01,수상레저체험 + 부대행사,케이워터운영관리㈜ + (사)인천광역시서구카누연맹,인천광역시 서구+한국수자원공사,,032-560-5933,http://www.seo.incheon.kr/,축제 날짜는 9월중으로 예정,인천광역시 서구 정서진1로 41,인천광역시 서구 오류동 1563,37.55843603,126.6074644,2025-02-26,3560000,인천광역시 서구
제11회 충주시민 한마음음아고히,충주시문화회관,2024-12-04,2024-12-04,클래식 음악공연,충청북도 충주시청,충청북도 충주시청,,043-850-5962,https://www.chungju.go.kr/culture/,,충청북도 충주시 중앙로 128,충청북도 충주시 성내동 215,36.9706185,127.9372217,2025-02-28,4390000,충청북도 충주시
소프라노 이성경 러브포엠 가곡콘서트,충주시문화회관,2024-12-08,2024-12-08,가곡 클래식 콘서트,충청북도 충주시청,충청북도 충주시청,,043-850-5962,https://www.chungju.go.kr/culture/,,충청북도 충주시 중앙로 128,충청북도 충주시 성내동 215,36.9706185,127.9372217,2025-02-28,4390000,충청북도 충주시
백제 어울마당,공주 무령왕릉과 왕릉원,2022-06-18,2022-10-15,공연 및 체험프로그램 운영,㈜혜윰,공주시,,041-840-8112,,,,충청남도 공주시 웅진동 55,36.4615986446,127.1128895712,2022-11-21,4500000,충청남도 공주시
웅진성수문병 근무교대식,공산성 금서루,2022-04-23,2022-10-29,수문병 근무교대식+무령왕 동상 회전의식,㈜혜윰,공주시,,041-840-8111,,,충청남도 공주시 웅진로 280,충청남도 공주시 금성동 65-3,36.46521533,127.1236802,2022-11-21,4500000,충청남도 공주시
제13회 양평 용문산 산나물축제,용문역 앞,2023-05-05,2023-05-07,산나물의 맛과 향기를 느낄수 있는 즐거운 체험+공연이 펼쳐지는 다채로운 축제,용문면산나물축제추진위원회,경기도 양평군 용문면,,031-770-3332,https://sannamulfestival.modoo.at/,,경기도 양평군 용문면 용문역길 21,경기도 양평군 용문면 다문리 736-13,37.48245012,127.5945009,2023-12-05,4170000,경기도 양평군
제4회 양평부추축제,양동역 일원,2023-10-07,2023-10-08,을미의병 발상지인 양동에서 특산품 부추로 다양한 음식을 즐기며 의병출정식 등 다양한 경험을 할 수 있는 행사,양평부추축제추진위원회,경기도 양평군 양동면,,031-770-3253,https://buchoofestival.modoo.at/,,경기도 양평군 양동면 양동역길 19,경기도 양평군 양동면 쌍학리 223-2,37.42030404,127.7544833,2023-12-05,4170000,경기도 양평군
2023 부평풍물대축제,부평대로+부평아트센터 등,2023-09-22,2023-09-24,전통+창작 연희공연+퍼레이드+개막 및 폐막 공연+체험행사 등,부평구축제위원회+ 부평구문화재단+ 부평문화원,인천광역시 부평구청,인천광역시+인천광역시의회+부평구의회+인천광역시교육청,032-509-7516,https://portal.icbp.go.kr/bpf/,,인천광역시 부평구 부평대로 168,인천광역시 부평구 부평동 879,37.50706831,126.7218563,2025-02-25,3540000,인천광역시 부평구
2024 부평풍물대축제,부평대로+신트리공원 등,2024-09-27,2024-09-29,전통풍물공연+창작연희공연+퍼레이드+개막 및 폐막 공연+체험행사+경연대회 등,부평구축제위원회+ 부평구문화재단+ 부평문화원,인천광역시 부평구청,문화체육관광부+인천광역시+인천광역시의회+부평구의회+인천광역시교육청,032-509-7516,https://portal.icbp.go.kr/bpf/,,인천광역시 부평구 부평대로 168,인천광역시 부평구 부평동 879,37.50706831,126.7218563,2025-02-25,3540000,인천광역시 부평구
진주남강유등축제,진주성+진주남강일원,2025-10-04,2025-10-19,초혼점등+소망등 달기+창작등 만들기+유등 전시+불꽃놀이+드론라이트쇼+체험행사 및 부대행사,진주남강유등축제 제전위원회,경상남도 진주시청+진주문화예술재단,문화체육관광부+경상남도청+한국관광공사+경상남도교육청+언론기관,055-755-9111,http://www.yudeung.com,,경상남도 진주시 남강로 626,경상남도 진주시 본성동 415,,,2025-02-17,5310000,경상남도 진주시
개천예술제,진주성 일원+진주남강일원+칠암동 남강둔치 일원,2025-10-10,2025-10-19,서제+개제식+가장행렬+예술경연+각종전시+예술문화행사+촉석산성 아리아 뮤지컬 공연,개천예술제 제전위원회,경상남도 진주시청+(사)한국예총 진주지회,,055-752-0111,http://www.gaecheonart.com,,경상남도 진주시 남강로 626,경상남도 진주시 본성동 415,,,2025-02-17,5310000,경상남도 진주시
코리아드라마페스티벌,경남문화예술회관+장대동 남강둔치 일원,2025-10-10,2025-10-19,코리아드라마어워즈+KDF 콘서트+KDF 초대석+부대행사 등,(사)코리아드라마페스티벌조직위원회,(사)코리아드라마페스티벌조직위원회,문화체육관광부+경상남도청+경상남도 진주시청,055-755-2363,http://www.kdfo.org,,,경상남도 진주시 장대동 356-17,,,2025-02-17,5310000,경상남도 진주시
진주논개제,진주성 일원,2025-05-03,2025-05-06,헌다례+신위순행+의암별제+실경역사뮤지컬 의기논개+전통놀이 체험 등,진주논개제 제전위원회,경상남도 진주시청+진주문화관광재단,,055-795-3214,http://jjcc.or.kr/,,경상남도 진주시 남강로 626,경상남도 진주시 본성동 415,,,2025-02-17,5310000,경상남도 진주시
진주 M2(뮤직&미디어)페스티벌,진주시 망경동 남강둔치(중앙광장 아래),2025-08-08,2025-08-09,수상무대공연+푸드존 등 부대행사,진주문화관광재단,경상남도 진주시청+진주문화관광재단,,055-795-3216,http://www.jinjumusic.com/,,경상남도 진주시 강남로 320 아래 둔치,경상남도 진주시 망경동 110-1 아래 둔치,,,2025-02-17,5310000,경상남도 진주시
